word,kanji,katakana,meaning
かんがえます,考えます,,"think, consider"
つきます,着きます,,arrive (at the school)
とります,取ります,,to grow old (年を～)
たります,足ります,,enough
いなか,田舎,,"countryside, hometown"
チャンス,,1,chance
おく,億,,hundred million
もし（～たら）,,,if
いみ,意味,,meaning
てんきん,転勤,,job relocation (～します)
こと,,,"thing, matter, thing about~"
ひま,暇,,"free, not busy"
いろいろおせわになりました,いろいろお世話になりました。,,Thank you for everything you have done for me.
がんばります,頑張ります,,do my best
どうぞおげんきで,どうぞお元気で。,,Best of luck.
もしもし,,,Hello (used when speaking on the telephone)
ベトナム,,1,Vietnam
